date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Jan 10 2019 22:26:38 GMT-0500 (Eastern Standard Time),,, ,Former,I worked at Jane Street,2,Flexible with vacation requests for employees,none that i can think of,,5.0,,,,,,,,
Fri Jul 13 2018 13:07:21 GMT-0400 (Eastern Daylight Time),,,Former Employee ,nice people and good place to learn,I worked at Jane Street part-time,1,"people are nice and smart, challenging but learned a lot","may be stressful, may be hard to catch up with others",,5.0,4.0,5.0,4.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Tue May 29 2018 08:36:02 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Secretary,I have been working at Jane Street full-time for less than a year,0,Okay Place to work is a pro,Nothing to add on cons,,4.0,3.0,3.0,3.0,5.0,3.0,Recommends,Negative Outlook,No opinion of CEO
Sat Apr 21 2018 01:26:21 GMT-0400 (Eastern Daylight Time), Associate,"New York, NY",Former Employee ,Associate,I worked at Jane Street full-time for more than 3 years,1,I get to learn something everyday,"Long work hours some days, can also be quite competitive",,5.0,3.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Mar 11 2018 00:40:26 GMT-0500 (Eastern Standard Time),,,Former Employee ,super cool,I worked at Jane Street part-time,1,"easy, fun, challenging and fast paced",it was very fast paced and pressuring,,4.0,,,,,,,,
Wed Oct 25 2017 04:51:19 GMT-0400 (Eastern Daylight Time),,"New York, NY",Former Employee ,Weird Culture,I worked at Jane Street full-time,27,"The food was always good, as were the benefits and the compensation. The company makes money, they are certainly good at that.","They were not innovative from a technology perspective. The company is run by a set of partners, that work at the company, but you are not allowed to know who they are. It has a very weird culture.",,2.0,4.0,1.0,3.0,5.0,2.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO
Fri Oct 27 2017 06:54:31 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Great Company,I have been working at Jane Street full-time,5,People are very smart and the culture is great.,Not a whole lot of bad,,5.0,5.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Aug 28 2017 12:06:01 GMT-0400 (Eastern Daylight Time),,"New York, NY",Former Employee ,Great company filled with smart motivated people,I worked at Jane Street full-time for more than 5 years,4,"Not just a cog in a machine, your opinions matter",Tough to stick to a diet with all the free food around,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Apr 18 2017 11:42:48 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Great Company,I have been working at Jane Street full-time,2,A great place to work.,I can't think of one.,,5.0,,,,,,Recommends,Positive Outlook,
Mon Jan 16 2017 10:48:45 GMT-0500 (Eastern Standard Time),,,Former Employee ,Anonymous,I worked at Jane Street full-time,8,Best company that I've ever worked at. They appreciate their employees and treat them well. Great corporate culture. Enjoyable work environment where people are challenged to do their best.,New employees can easily put on the 'freshman fifteen' from all the available food.,,5.0,,,,,,,,
Sat Dec 10 2016 20:32:22 GMT-0500 (Eastern Standard Time),,"New York, NY","Analyst, Trader Assistant in New York, NY",Horrible,I worked at Jane Street,61,Surrounded by intellectually challenging people as well as an intellectually challenging position which I thought to be one of the best parts of this job,Everything. All of it is bad and horrible people.There was almost no pros of working in such a horrid work place. Every one is so rude and there is no freedom and I hate it.,,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Thu Sep 15 2016 13:48:35 GMT-0400 (Eastern Daylight Time),,, ,Overall good place to learn,I have been working at Jane Street,8,"Extremely smart people, generally good culture",Can be tiring only doing technical work and discussing quantitative topics in and out of the office,,4.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Aug 04 2016 22:56:36 GMT-0400 (Eastern Daylight Time),,, ,Great company,I worked at Jane Street,3,"Everyone is very smart and interesting. The salaries are fantastic, the work is interesting, its a great company.","I loved it there, no issues.",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Sat Apr 02 2016 14:44:41 GMT-0400 (Eastern Daylight Time), Trader,"New York, NY",Current Employee ,"Lots of Fun, Always Interesting",I have been working at Jane Street full-time for more than a year,38,"Jane Street has been an incredibly rewarding experience. You are working with some of the top minds in the world, collaborating on very difficult problems. I am a trader, so I am constantly scouring the market for opportunities, tweaking our trading systems, and developing tools to help us trade more effectively. There is very little to no administrative work (outside of doing interviews), and a single hour long meeting per week. The people here are incredibly smart, yet humble. Think of it as the very top of the ivy league math and computer science departments, so probably some of the geekiest people you've ever met will be your co-workers. However, not all departments are like that and some are extremely outgoing and charismatic (dating back to the days of floor trading I guess). Everyone is willing to help on just about anything, from the simplest questions to the advanced problems. Few are arrogant, and in fact the company will not hire you if you have an unchecked ego. The pay is really high at the start, even compared to other trading firms. You will have no trouble securing a comfortable apartment in any part of Manhattan on the base salary alone. The bonuses are also high, and they are based on overall performance of the firm. You don't have an individual profit/loss number and never feel that an unlucky stretch will sink your bonus opportunities. The perks are awesome, I won't go into specifics but you receive a very generous package of benefits covering just about everything you could think of. Breakfast and lunch are catered, or you can also have food delivered on the company tab. The kitchen is fully stocked with food, fruit, beverages, snacks, and candy. Jane Street really takes care of its employees. The hours are also quite reasonable for this kind of job. You'll never have set times that you must come in and leave by. I work about 50 hours per week and am about in the middle. Some people work more, some less. There are also very few to no days where you feel that you ""must"" stay late to finish something. You never work weekends or nights. The people are awesome. Everyone works hard while they're here, but nobody gets burned out or has unreasonable expectations. There is practically no hierarchy at all, and little to no busy work. Finally, the firm has very high ethical standards. We will intentionally avoid strategies that, while legal, are ethically in a gray area. I've yet to run into anything truly illegal happen at this place.","The only weird downside is eating lunch at your desk. Traders don't get up from their desk more than a few times a day, and never for longer than to grab food or use the bathroom.",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jun 15 2016 15:59:31 GMT-0400 (Eastern Daylight Time),,"San Diego, CA","Assistant Trader in San Diego, CA",Assistant Trader,I worked at Jane Street for less than a year,5,A nice atmosphere yes this is the best thing about it and the people were cool and friendly too,"A hard superior, sometimes so much work and not enough Indians more chefs than Indians",,3.0,,,,,,,,
Wed May 25 2016 07:37:46 GMT-0400 (Eastern Daylight Time),,"New York, NY",Former Employee ,Tech wannabes,I worked at Jane Street full-time,64,"Money, but nothing comes for free.",They try to be a tech company to entice the best grads and avoid the SEC and media focusing on what they really are - a flash boys hedge fund/high frequency trading firm. Senior partners have too much power and are massively out of touch due to their extreme wealth and egos. Argumentative discussion style. Disgusting wall street excess to the max.,,1.0,1.0,,,,,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Tue Mar 22 2016 15:54:56 GMT-0400 (Eastern Daylight Time), Senior Financial Analyst,"San Francisco, CA",Former Employee ,Great perks but few advance opportunities for non-traders,I worked at Jane Street full-time for more than a year,18,"Amazing work life balance with catered lunch daily, in-house gym and fully stocked pantry. People who work here are clearly brilliant",Non-revenue generating departments could be organized better. Industry knowledge is difficult to apply outside of the quantitative trading space.,,3.0,5.0,5.0,3.0,5.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Mon Nov 23 2015 16:22:04 GMT-0500 (Eastern Standard Time),,"New York, NY","Assistant Trader in New York, NY",Good place,I have been working at Jane Street,17,I really thought that the culture t the company was a great experience. All the traders were extremeely smart and definitely knew what they were doing in terms of ability.,Some of the interns were arrogant because of the universities they went to or the type of people they hung out with. Not a great culture fit in my opinon.,,5.0,3.0,3.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Oct 19 2015 18:37:18 GMT-0400 (Eastern Daylight Time),,"New York, NY","Assistant Trader in New York, NY",Awesome place to work,I worked at Jane Street for less than a year,4,"Lots of things: great hours, work with lots of smart and sociable people, amazing company culture, good food.","Can be intense and physically exhausting, but I suppose this is the nature of the beast in finance",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Oct 14 2015 21:25:29 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Trader,I worked at Jane Street full-time,1,everyone is really smart. you're always learning new things,it's an intense work environment and they make you work a ton,,4.0,,,,,,Recommends,Positive Outlook,No opinion of CEO
Fri Jun 05 2015 10:40:57 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Great Place to Work,I worked at Jane Street full-time,7,"Overall, very very smart and hard-working colleagues abound. I was extremely happy working there for several years.","As the firm has grown over the years, the level of general bureaucracy has really exploded. There are a lot of people in support roles who don't add much.",,5.0,,,,,,,,
Fri May 01 2015 14:06:54 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Awesome,I have been working at Jane Street full-time,7,"Jane Street Capital is a fascinating place to work, as you not only have access to some of the most engaging minds but awesome collaboration.",Long hours entail constant mental exertion. Very difficult to gain a foothold among such smart and talented people.,,5.0,2.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Dec 23 2014 00:39:32 GMT-0500 (Eastern Standard Time),,, ,Great Company,I have been working at Jane Street,1,"Not bad for prop shop, smart people","Can be cliquey, but not too bad.",,5.0,4.0,4.0,5.0,5.0,3.0,,,
Tue Oct 28 2014 11:21:21 GMT-0400 (Eastern Daylight Time),,, ,worked here for a year,I worked at Jane Street,3,great compensation and great people,sometimes work was too challenging,,5.0,,,,,,,,
Wed Apr 30 2014 22:30:49 GMT-0400 (Eastern Daylight Time), Systems Engineer,"New York, NY",Former Employee ,Great company to work for.,I worked at Jane Street full-time for more than a year,30,"* Decision making is extremely academic and meritocratic. It's about what you know, not who you know, though politics did creep up from time to time. * Extremely small company with heaps of awesome technology. You're guaranteed to learn a lot here. * Most of the work that I did was extremely unique and very interesting. * Jane Street goes to great lengths to ensure that its staff is at least familiar with OCaml and functional programming in general. I think this is a good thing. * Culture is extremely lax. Office hierarchy exists in name only; everyone, including their ""executive management"" is extremely warm and approachable. Casual clothes policy is great. * The compensation is fantastic and their benefits/perks package was pretty wild. There is ALWAYS food in the office, and their gym is excellent for most of the popular training programmes out there (sports training, cardio, bodybuilding, basic powerlifting, etc).","* Resourcing problems were pretty evident. * Interview process was, in my opinion, too selective for certain roles. * No true career paths for those looking to get into management, as it doesn't exist there in the same form as it exists in other places. * Vacation policy is surprisingly light given the rest of their benefits. * Leaving for lunch seemed to be universally frowned upon. * No opportunities to work from home given the nature and structure of the business. * Lots of unproductive conversations about the smartest/most clever way of doing things, which made many meetings run unnecessarily long and introduced many ""side projects"" that slowed work in other, more key areas down.",,4.0,2.0,4.0,4.0,5.0,2.0,Recommends,Positive Outlook,Approves of CEO
Wed Oct 02 2013 15:45:52 GMT-0400 (Eastern Daylight Time),,,Former Employee ,It was pretty awesome. I was paid well.,I worked at Jane Street full-time,4,Nice people. Really great work atmosphere. Everyone was really warm. Lots of money. You know the usual for the best quantitative prop shop.,Some people are too bossy. Really stressful. Interview process is demeaning. But i still really enjoyed working at Jane Street. The opportunity was amazing.,,5.0,3.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Tue Sep 10 2013 00:34:08 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Great place to work in finance industry,I have been working at Jane Street full-time,3,"- Smart, nice people - Great culture and significantly less bureaucracy compared to other firms I have worked for - Growing company where you are given the opportunity to take on responsibility early on - Firm is willing to explore new ideas",- Respectful but honest culture intellectually takes a little getting used to,,5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Wed Jan 16 2013 19:30:05 GMT-0500 (Eastern Standard Time),,, ,assistant trader,I have been working at Jane Street,5,the interview process is very friendly,need too much mental math,,3.0,,,,,,,,
Thu Jun 28 2012 18:36:42 GMT-0400 (Eastern Daylight Time),,"New York, NY",Current Employee ,"A very unique company you might have never heard of, depend on what circle you're in",I have been working at Jane Street full-time for more than a year,12,"The company culture is definitely its best feature. An amazingly humble bunch of people with great work ethics and a fair bit of quirkiness. These are the only people in the finance industry I would ever consider working with. Also, the work is interesting and the pay is really good.",It's high energy enough that some more vacation might be nice.,,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Sun May 22 2011 10:51:53 GMT-0400 (Eastern Daylight Time),,"New York, NY","Programmer in New York, NY",Very rewarding.,I have been working at Jane Street,4,"Fun, casual environment, but very challenging.",sometimes can be a bit stressful,,5.0,5.0,5.0,5.0,5.0,,Recommends,,
Thu Feb 13 2020 16:13:00 GMT-0500 (Eastern Standard Time), Software Engineer,"London, England",Current Employee ,"Interesting work, fun culture",I have been working at Jane Street full-time for more than a year,0,Amazingly smart and hard working co-workers Top-notch benefits Fairly flat hierarchy for the size of the company Work is exciting Code quality is excellent,"Similar to other trading firms, the secrecy can be slightly annoying",,5.0,5.0,5.0,3.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 16 2020 05:15:19 GMT-0500 (Eastern Standard Time), Digital Content Coordinator,Melbourne,Current Employee ,Mostly satisfied,I have been working at Jane Street full-time for more than a year,0,"Can be very creative 
Great perks and beautiful office",Office politics are messy and can be quite immaturely dealt with,,4.0,4.0,2.0,3.0,3.0,2.0,Recommends,Positive Outlook,
Sat Oct 26 2019 04:28:15 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Work Culture,I worked at Jane Street full-time,0,"Relaxed Environment, good hours, not stressed",Not very Social colleagues to work with,,3.0,3.0,3.0,5.0,5.0,5.0,,,
Wed Aug 28 2019 15:30:43 GMT-0400 (Eastern Daylight Time), Retail,,Current Employee ,Fake job,I have been working at Jane Street part-time,0,There was a lot of breaks,"Rubbish
 I hated it a lot.",,5.0,5.0,5.0,5.0,,,Disapproves of CEO,,
Tue Aug 06 2019 12:32:31 GMT-0400 (Eastern Daylight Time), Junior Trader,"London, England",Current Employee ,review,I have been working at Jane Street part-time for less than a year,0,good work life balance overall,interview process was very hard,,4.0,4.0,4.0,4.0,4.0,4.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Fri Nov 16 2018 15:42:31 GMT-0500 (Eastern Standard Time),,,Current Employee ,Lives up to the amazing reputation,I have been working at Jane Street full-time,0,"- Culture - Collaboration with brilliant people - Work balance - Fast moving, diverse projects",- Only working at a computer which is straining on the eyes.,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Mon Oct 22 2018 12:01:38 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Great Place to Work!,I have been working at Jane Street full-time,1,"Supersmart people, enriching environment, lots of perks","really nothing to say here, just prepare for inferiority complex",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Tue Jan 16 2018 22:01:16 GMT-0500 (Eastern Standard Time),,, ,Trader,I worked at Jane Street,1,Nice working environment. Learned a lot of things,"The pace was a bit fast for me at the beginning, but got used to it later",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Sun Aug 20 2017 06:59:11 GMT-0400 (Eastern Daylight Time), Quantitative Researcher,"London, England",Current Employee ,Quant,I have been working at Jane Street full-time for less than a year,1,Work with the most talented people.,I can't find any cons at all,,5.0,5.0,5.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Mon Mar 20 2017 07:27:56 GMT-0400 (Eastern Daylight Time),,, ,Good,I worked at Jane Street,0,"Food, people, management, perks, etc",Nothing much to say here,,5.0,,,,,,,,
Tue Feb 14 2017 04:01:39 GMT-0500 (Eastern Standard Time),,, ,Trading Intern,I worked at Jane Street,1,"Nice People, Intelligent lots of benefits","Bit geeky, very few girls",,5.0,,,,,,,,
Sun Oct 02 2016 04:58:34 GMT-0400 (Eastern Daylight Time),,"London, England"," in London, England",Good place to work if you can get in,I worked at Jane Street for less than a year,19,"Good culture, resources, learning opportunities. Lots of opportunities to work on cool projects and develop skills. It's also resume gold. Every interview I've had since then has asked about my time at Jane Street.","Lots of egos, occasionally very difficult people to work with. Rooms filled with ""the smartest person in the room."" Competitive and at times very cut-throat environment. You will need",,4.0,,,,,,Recommends,Neutral Outlook,No opinion of CEO
Tue Oct 18 2016 08:20:53 GMT-0400 (Eastern Daylight Time),,"Toronto, ON"," in Toronto, ON",Bad,I have been working at Jane Street,8,"None, they need to revamp their management for new hires","Lots - bad management, working hours, pay, etc",,2.0,,,,,,,,
Mon Aug 22 2016 01:23:41 GMT-0400 (Eastern Daylight Time),,Hong Kong,Current Employee ,recommand,I have been working at Jane Street part-time for less than a year,0,working with smartest people,"no cons, everything seems perfect.",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Thu Apr 07 2016 14:09:53 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Jane Street,I have been working at Jane Street full-time,1,"Lovely people, the food is tasty and there's always something to be do. Everyone there is pretty young and they have a solid culture","Can get tiring, some days are pretty tedious but I guess it's the same with any job. Staring at screens burns your eyes",,4.0,3.0,5.0,3.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Wed Mar 30 2016 13:12:58 GMT-0400 (Eastern Daylight Time),,,Former Employee ,A tough nut with a sweet kernel,I worked at Jane Street full-time,3,"Amazing tech: stable, solid, innovative. Decent benefits and comp. Business model proven and effective.","Very difficult to get into, technologically and culturally. OCaml is a big stumbling block for discovery and self-learning on the job, Culture of ""genius"" (people pretending enormous intelligence by refusing to answer simple questions).",,4.0,3.0,4.0,4.0,4.0,2.0,Recommends,Positive Outlook,No opinion of CEO
Fri Oct 16 2015 06:23:25 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Technologist,I worked at Jane Street full-time,2,"Great people, and great stimulus to grow and learn new things. The food is amazing, and there is a decent work/life balance.","Mobility within the firm is encouraged, but only between certain groups.",,5.0,4.0,5.0,3.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Nov 05 2015 14:27:21 GMT-0500 (Eastern Standard Time),,, ,Trading Intern,I worked at Jane Street,0,"High salary, challenging environment, fun","Intense workload, just an intern",,3.0,3.0,3.0,3.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Mar 05 2015 08:54:35 GMT-0500 (Eastern Standard Time),,, ,Trading Intern,I worked at Jane Street,0,Interesting work and bright people,Never wanted to leave the office,,5.0,,,,,,,,
Mon Nov 17 2014 02:08:47 GMT-0500 (Eastern Standard Time), Developer,"London, England",Current Employee ,Great company to work for,I have been working at Jane Street full-time,7,"Great compensation & People to work with, interesting problems to solve, work never becomes routine","Can't really think of any, but if you just like to be told what to do this is probably not the best place for you to look for as a good part of your progress will depend on your proactivity",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Mon Oct 07 2013 03:51:05 GMT-0400 (Eastern Daylight Time), Software Development Engineer,Hong Kong,Current Employee ,"Software Development Engineering, Full Time",I have been working at Jane Street full-time,10,"A good salary. Besides, it is a financial company emphasizing on technology. Work rotation between New York, London, Hong Kong is very good.",The only cons I can give may be that its interview is a little hard and it can provide much exposure.,,5.0,4.0,4.0,5.0,5.0,4.0,,,
Mon May 13 2013 01:23:28 GMT-0400 (Eastern Daylight Time), Junior Trader,Central,Current Employee ,Cool company with a lot of smart guys,I have been working at Jane Street full-time for less than a year,8,working with a lot of smart people,Ocaml...working hour is a bit long in HK office,,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Nov 11 2012 22:10:53 GMT-0500 (Eastern Standard Time),,, ,Amazing company to work for,I worked at Jane Street,0,"Young like minded people, great working environment","None really, I am very happy with the job",,5.0,,,,,,,,
Sat Sep 29 2012 06:50:24 GMT-0400 (Eastern Daylight Time),,, ,interesting,I worked at Jane Street,5,"great pay, work life balance, very intellectual, challenging, and interesting work. Laid back environment, lots of food around. employees are happy","pretty intense competitively, nerdy culture. your social currency is your intelligence and mathematical aptitude to some extent. lacking good management",,4.0,4.0,3.0,3.0,5.0,2.0,,,
Sat Nov 27 2010 14:38:09 GMT-0500 (Eastern Standard Time),,,Trader ,junior trader,I worked at Jane Street,0,"if you do well at Jane Street, you'll easily make six figures. The partners make seven figures.",proprietary firms are small and have limited resource,,3.0,3.0,3.0,3.0,3.0,,,,
Tue Oct 12 2010 08:29:16 GMT-0400 (Eastern Daylight Time),,, ,Tough interviews,I have been working at Jane Street,0,Good salary in this job,Long hours of work in this job,,3.0,3.0,3.0,3.0,3.0,,,,
Mon May 03 2010 10:38:53 GMT-0400 (Eastern Daylight Time),,,Trader ,Jane St Capital Trading,I worked at Jane Street,5,The payout is very very satisfying. It is very challenging. You are working in an environment with a lot of very very smart people.,"You are constantly challenging yourself, your peers are the smartest people in the world. In the beginning, it is extremely hard to make money. Almost all traders fail at the start, but they teach you how to later be very profitable.",,5.0,5.0,4.0,5.0,5.0,,Recommends,,
Fri Mar 19 2010 23:08:17 GMT-0400 (Eastern Daylight Time),,, ,Okay,I have been working at Jane Street,0,Great salary and smart people,Long hours and not the best work environement,,4.0,4.0,4.0,4.0,4.0,,Recommends,,
